Roll(deg),Pitch(deg),Yaw(deg),Alpha_P(deg),Alpha_Y(deg)
0.000000,0.667094,0.667094,106.200000,106.200000
0.000000,0.672633,0.672633,106.182000,106.182000
0.000000,0.678175,0.678175,106.164000,106.164000
0.000000,0.683721,0.683721,106.146000,106.146000
0.000000,0.689272,0.689272,106.128000,106.128000
0.000000,0.694825,0.694825,106.110000,106.110000
0.000000,0.700383,0.700383,106.092000,106.092000
0.000000,0.705945,0.705945,106.074000,106.074000
0.000000,0.711510,0.711510,106.056000,106.056000
0.000000,0.717080,0.717080,106.038000,106.038000
0.000000,0.722653,0.722653,106.020000,106.020000
0.000000,0.728230,0.728230,106.002000,106.002000
0.000000,0.733811,0.733811,105.984000,105.984000
0.000000,0.739395,0.739395,105.966000,105.966000
0.000000,0.744984,0.744984,105.948000,105.948000
0.000000,0.750576,0.750576,105.930000,105.930000
0.000000,0.756172,0.756172,105.912000,105.912000
0.000000,0.761772,0.761772,105.894000,105.894000
0.000000,0.767376,0.767376,105.876000,105.876000
0.000000,0.772983,0.772983,105.858000,105.858000
0.000000,0.778595,0.778595,105.840000,105.840000
0.000000,0.784210,0.784210,105.822000,105.822000
0.000000,0.789829,0.789829,105.804000,105.804000
0.000000,0.795452,0.795452,105.786000,105.786000
0.000000,0.801079,0.801079,105.768000,105.768000
0.000000,0.806710,0.806710,105.750000,105.750000
0.000000,0.812344,0.812344,105.732000,105.732000
0.000000,0.817983,0.817983,105.714000,105.714000
0.000000,0.823625,0.823625,105.696000,105.696000
0.000000,0.829271,0.829271,105.678000,105.678000
0.000000,0.834920,0.834920,105.660000,105.660000
0.000000,0.840574,0.840574,105.642000,105.642000
0.000000,0.846232,0.846232,105.624000,105.624000
0.000000,0.851893,0.851893,105.606000,105.606000
0.000000,0.857558,0.857558,105.588000,105.588000
0.000000,0.863227,0.863227,105.570000,105.570000
0.000000,0.868900,0.868900,105.552000,105.552000
0.000000,0.874576,0.874576,105.534000,105.534000
0.000000,0.880257,0.880257,105.516000,105.516000
0.000000,0.885941,0.885941,105.498000,105.498000
